year_month,question_count,is_gap
2020-01,146664,False
2020-02,145116,False
2020-03,155969,False
2020-04,182923,False
2020-05,186478,False
2020-06,171916,False
2020-07,166050,False
2020-08,148365,False
2020-09,141792,False
2020-10,141825,False
2020-11,134956,False
2020-12,133924,False
2021-01,139893,False
2021-02,131702,False
2021-03,148783,False
2021-04,135901,False
2021-05,133832,False
2021-06,129018,False
2021-07,124017,False
2021-08,122117,False
2021-09,119803,False
2021-10,118925,False
2021-11,119170,False
2021-12,112194,False
2022-01,119354,False
2022-02,114030,False
2022-03,123495,False
2022-04,114260,False
2022-05,116224,False
2022-06,111534,False
2022-07,110932,False
2022-08,112951,False
2022-09,103845,False
2022-10,106223,False
2022-11,109579,False
2022-12,96623,False
2023-01,97020,False
2023-02,85868,False
2023-03,87369,False
2023-04,68631,False
2023-05,66612,False
2023-06,63733,False
2023-07,62855,False
2023-08,60190,False
2023-09,52839,False
2023-10,52428,False
2023-11,50367,False
2023-12,42416,False
2024-01,47701,False
2024-02,46057,False
2024-03,44803,False
2024-04,42473,False
2024-05,40158,False
2024-06,32014,False
2024-07,31500,False
2024-08,27863,False
2024-09,24793,False
2024-10,23221,False
2024-11,20846,False
2024-12,17971,False
2025-01,18238,False
2025-02,15565,False
2025-03,15129,False
2025-04,12349,False
2025-05,11549,False
2025-06,9197,False
2025-07,7751,False
2025-08,5837,False
2025-09,6062,False
2025-10,5320,False
2025-11,4270,False
2025-12,3340,False
2026-01,2967,False
2026-02,2315,False
2026-03,2033,False
