year_month,question_count,coverage_rate
2020-01,146664,0.8257104674630448
2020-02,145116,0.8233964552495935
2020-03,155969,0.8161108938314665
2020-04,182923,0.8199187636327854
2020-05,186478,0.8216894218084707
2020-06,171916,0.8191616836129273
2020-07,166050,0.8231195423065342
2020-08,148365,0.8260236578707917
2020-09,141792,0.8218446738885128
2020-10,141825,0.8246994535519125
2020-11,134956,0.8204822312457394
2020-12,133924,0.8200994593948807
2021-01,139893,0.8202125910517324
2021-02,131702,0.8163429560674856
2021-03,148783,0.8086945417151153
2021-04,135901,0.8079337164553609
2021-05,133832,0.8109794369059716
2021-06,129018,0.8085538451998946
2021-07,124017,0.8053895836861076
2021-08,122117,0.8105832930713988
2021-09,119803,0.8067577606570787
2021-10,118925,0.8089972671852007
2021-11,119170,0.7977678946043467
2021-12,112194,0.7998199547212863
2022-01,119354,0.8011713055280929
2022-02,114030,0.7973691133912129
2022-03,123495,0.7909712943843881
2022-04,114260,0.7941886924558026
2022-05,116224,0.7900519686123348
2022-06,111534,0.7904136855129378
2022-07,110932,0.7950816716547073
2022-08,112951,0.7965400926065285
2022-09,103845,0.8015311281236458
2022-10,106223,0.7931144855633903
2022-11,109579,0.7888737805601438
2022-12,96623,0.7892634258923859
2023-01,97020,0.78433312719027
2023-02,85868,0.7796152233660968
2023-03,87369,0.7733864414151472
2023-04,68631,0.7652518541184014
2023-05,66612,0.7581066474509097
2023-06,63733,0.750003922614658
2023-07,62855,0.7528915758491767
2023-08,60190,0.7518026250207676
2023-09,52839,0.7516796305759004
2023-10,52428,0.7629320210574502
2023-11,50367,0.7456469513768936
2023-12,42416,0.7462042625424368
2024-01,47701,0.7497746378482631
2024-02,46057,0.7419067677008924
2024-03,44803,0.7476954668214182
2024-04,42473,0.7371742047889247
2024-05,40158,0.7351461726181583
2024-06,32014,0.7312738177047542
2024-07,31500,0.7543174603174603
2024-08,27863,0.762696048523131
2024-09,24793,0.7499697495260759
2024-10,23221,0.7611644632014125
2024-11,20846,0.7489686270747385
2024-12,17971,0.735573980301597
2025-01,18238,0.7502467375808751
2025-02,15565,0.76061676839062
2025-03,15129,0.7651530173838323
2025-04,12349,0.7088833103895053
2025-05,11549,0.6475885358039657
2025-06,9197,0.6564096988148309
2025-07,7751,0.66984905173526
2025-08,5837,0.664553709097139
2025-09,6062,0.628835367865391
2025-10,5320,0.6417293233082707
2025-11,4270,0.6620608899297424
2025-12,3340,0.6751497005988024
2026-01,2967,0.6609369733737782
2026-02,2315,0.6695464362850972
2026-03,2033,0.6286276438760453
